"10-8551","Person10_2010","Team4","","2010-01-02 17:30:20","2010-02-19 14:55:00.552998"
"51-3982","Person51_2010","Team2","C,J","2010-01-06 21:47:47","2010-03-18 14:33:46.365873"
"132-4489","Person132_2010","Team4","E,H","2010-01-10 21:30:08","2010-10-20 00:02:21.248135"
"199-7472","Person199_2010","Team4","","2010-01-12 17:15:49","2010-07-31 09:23:04.101426"
"12-7112","Person12_2010","Team2","B,E","2010-01-12 18:15:34","2010-05-15 20:01:40.115692"
"19-525","Person19_2010","Team3","B,F","2010-01-13 02:17:07","2010-09-18 19:29:20.958098"
"49-3438","Person49_2010","Team3","","2010-01-14 02:09:35","2010-11-05 05:54:00.665049"
"153-8964","Person153_2010","Team4","F,C,G","2010-01-14 17:22:01","2010-03-25 11:11:50.925952"
"75-7266","Person75_2010","Team1","G,E,B","2010-01-17 14:39:49","2010-01-23 06:41:41.330119"
"186-2383","Person186_2010","Team4","K,A,D,F","2010-01-18 04:51:10","2010-03-13 00:16:05.144358"
"125-9466","Person125_2010","Team4","K","2010-01-20 07:28:55","2010-07-14 18:55:41.969972"
"194-9424","Person194_2010","Team4","D","2010-01-21 18:57:35","2010-08-15 19:18:31.414202"
"16-3184","Person16_2010","Team1","H","2010-01-22 17:01:25","2010-03-17 07:29:42.939149"
"77-6927","Person77_2010","Team4","D,I,K","2010-01-23 14:56:54","2010-08-11 20:39:20.027732"
"107-9080","Person107_2010","Team1","","2010-01-25 14:54:58","2010-05-14 04:06:36.143204"
"31-9772","Person31_2010","Team3","D","2010-01-25 16:38:46","2010-03-10 00:09:50.009977"
"36-5506","Person36_2010","Team4","H,B","2010-01-26 00:54:48","2010-02-12 12:46:56.818881"
"115-8245","Person115_2010","Team4","B,I","2010-01-26 05:45:22","2010-07-03 09:50:32.906739"
"175-2828","Person175_2010","Team3","C,F","2010-01-27 08:09:24","2010-07-04 20:46:56.719119"
"63-7358","Person63_2010","Team3","","2010-02-01 03:30:33","2010-02-22 22:01:39.858823"
"69-890","Person69_2010","Team3","A,I,F","2010-02-02 16:37:31","2010-08-12 09:27:56.891165"
"83-7703","Person83_2010","Team1","","2010-02-05 11:03:29","2010-06-06 11:42:32.293718"
"149-2202","Person149_2010","Team1","A,F","2010-02-05 16:05:25","2010-09-14 23:30:12.797408"
"151-2250","Person151_2010","Team3","C,D,G","2010-02-05 18:25:41","2010-07-21 06:58:07.587901"
"156-636","Person156_2010","Team4","G,J","2010-02-05 21:43:11","2010-06-28 07:03:14.022226"
"170-9987","Person170_2010","Team4","D,C,A","2010-02-08 15:51:08","2010-03-18 03:27:02.090765"
"126-1618","Person126_2010","Team1","E,I","2010-02-11 03:40:58","2010-09-11 19:12:42.904593"
"42-8311","Person42_2010","Team2","I,C,K","2010-02-12 02:16:14","2010-09-29 13:45:08.972739"
"55-4113","Person55_2010","Team4","","2010-02-12 11:52:06","2010-11-01 17:23:40.666917"
"14-7139","Person14_2010","Team3","B,F,I,J","2010-02-16 20:21:01","2010-04-30 12:32:16.018459"
"189-5187","Person189_2010","Team1","B","2010-02-17 05:49:30","2010-02-26 18:27:20.000111"
"99-1665","Person99_2010","Team1","J,A,B","2010-02-17 11:59:28","2010-10-13 12:49:32.637169"
"154-9054","Person154_2010","Team3","F","2010-02-19 21:56:15","2010-11-28 18:13:50.988573"
"171-2123","Person171_2010","Team1","A,C,I","2010-02-20 11:18:33","2010-06-21 19:44:36.136842"
"13-2478","Person13_2010","Team1","F,D","2010-02-20 23:18:19","2010-09-13 10:52:38.874757"
"143-6341","Person143_2010","Team1","G","2010-02-21 22:29:24","2010-04-18 03:59:38.428108"
"166-485","Person166_2010","Team2","G,F,D","2010-02-22 02:06:04","2010-11-03 06:21:01.466916"
"183-1955","Person183_2010","Team1","H,B","2010-02-23 20:51:46","2010-06-05 01:40:29.029517"
"178-1935","Person178_2010","Team4","G","2010-02-24 12:21:10","2010-03-13 04:14:23.809027"
"70-5111","Person70_2010","Team1","I,G","2010-02-25 22:34:44","2010-06-11 23:23:41.754876"
"37-8377","Person37_2010","Team4","H,D","2010-02-28 17:43:10","2010-10-15 01:59:12.083454"
