"47-3771_2012","1","2012-01-11 01:27:46","29-3686","84-9608"
"84-4370_2012","1","2012-01-13 15:43:04","35-6408","386-28"
"81-8018_2012","3","2012-01-14 12:19:08","30-4302","376-2271"
"36-5645_2012","3","2012-01-21 10:43:35","198-9949","292-9560"
"10-3865_2012","3","2012-01-23 15:29:16","124-6278","951-456"
"54-6861_2012","2","2012-01-30 17:04:52","28-5208","46-3045"
"99-2762_2012","3","2012-02-02 08:55:20","8-7422","157-6072"
"28-1749_2012","2","2012-02-04 04:05:43","199-7472","176-5916"
"56-1775_2012","2","2012-02-06 07:44:20","22-7946","128-8776"
"45-5309_2012","3","2012-02-07 15:20:52","49-6104","392-6920"
"7-3391_2012","1","2012-02-07 15:26:30","21-9916","542-4531"
"86-9092_2012","3","2012-02-10 13:18:21","31-9793","589-4601"
"30-8356_2012","1","2012-02-13 22:50:39","53-4254","601-7073"
"1-9812_2012","1","2012-02-16 15:49:35","17-7842","810-6882"
"80-328_2012","1","2012-02-16 21:15:22","116-4308","587-5381"
"35-7158_2012","3","2012-02-20 08:16:25","162-9113","848-5837"
"89-667_2012","1","2012-02-21 20:30:31","49-3438","988-7141"
"3-3557_2012","1","2012-02-23 16:30:58","28-9755","312-2897"
"79-690_2012","3","2012-03-08 04:54:00","163-4105","566-4177"
"77-5858_2012","2","2012-03-21 07:22:40","54-5917","15-3971"
"71-8353_2012","2","2012-03-21 14:10:52","11-886","117-6641"
"83-1897_2012","1","2012-03-25 17:25:40","161-1834","98-8338"
"5-9016_2012","2","2012-03-29 19:02:59","172-2791","102-6812"
"55-9785_2012","2","2012-03-30 01:49:40","13-9144","358-5582"
"46-6865_2012","3","2012-04-02 07:48:36","103-6980","116-4617"
"98-5241_2012","3","2012-04-13 04:27:55","192-5055","1-2172"
"75-5395_2012","2","2012-04-21 05:54:44","138-5116","957-5027"
"61-9216_2012","2","2012-04-25 02:19:05","92-7611","228-10"
"24-2086_2012","1","2012-04-28 08:47:57","31-9772","835-9629"
"6-1716_2012","2","2012-05-07 05:37:26","28-5208","915-7608"
"27-5400_2012","2","2012-05-10 20:43:15","31-9772","729-7524"
"76-5975_2012","1","2012-05-13 18:54:17","56-6199","987-8096"
"74-9553_2012","2","2012-05-17 06:52:40","86-505","779-4756"
"41-8989_2012","2","2012-05-18 02:04:22","39-2393","503-7539"
"51-3598_2012","2","2012-05-18 16:31:00","4-5410","164-2089"
"65-7096_2012","3","2012-05-21 00:49:28","26-1452","151-1605"
"87-6093_2012","1","2012-05-23 18:19:17","114-2828","809-7153"
"57-1578_2012","1","2012-05-25 19:57:20","124-6278","726-994"
"53-6290_2012","3","2012-06-02 17:11:25","116-4308","569-3138"
"34-191_2012","3","2012-06-03 15:51:31","97-5350","629-2871"
"96-2859_2012","2","2012-06-04 09:29:43","22-4530","69-5656"
"93-5820_2012","3","2012-06-06 12:36:53","25-70","236-1344"
"52-9415_2012","2","2012-06-14 06:25:47","105-4610","245-4378"
"90-400_2012","1","2012-06-16 16:34:27","176-424","230-5501"
"25-1637_2012","2","2012-06-17 21:39:02","55-5810","88-60"
"26-1373_2012","1","2012-06-22 19:10:47","16-3800","64-8652"
"15-7474_2012","3","2012-06-22 22:21:25","15-7595","936-1269"
"69-3396_2012","3","2012-06-30 19:25:44","54-9813","274-9488"
"59-8086_2012","2","2012-07-08 09:02:51","7-9261","121-1955"
"97-4630_2012","2","2012-07-08 14:53:17","18-314","460-920"
"60-7899_2012","3","2012-07-15 20:49:29","76-4488","84-9608"
"16-8021_2012","1","2012-07-17 15:55:21","179-4227","752-9150"
"85-6250_2012","1","2012-07-18 21:35:09","97-5350","181-2364"
"48-237_2012","2","2012-07-20 08:42:52","64-5029","774-403"
"82-7356_2012","1","2012-07-20 10:16:21","35-1047","770-1178"
"62-7869_2012","3","2012-07-27 01:38:50","161-1834","982-7655"
"88-494_2012","2","2012-08-11 11:50:30","44-314","872-7270"
"94-1729_2012","1","2012-08-25 00:31:47","11-886","558-6507"
"32-950_2012","1","2012-09-09 01:30:36","36-5506","203-6451"
"31-8_2012","1","2012-09-09 13:07:44","20-8599","974-6219"
"33-3578_2012","2","2012-09-13 12:19:09","84-2526","297-5764"
"78-9608_2012","1","2012-09-17 03:01:10","97-5350","292-9560"
"40-8590_2012","1","2012-09-19 20:01:21","1-5011","453-1833"
"58-5511_2012","1","2012-09-20 07:26:31","75-7266","713-7565"
"21-4879_2012","3","2012-09-21 04:11:06","135-2777","10-3065"
"73-1476_2012","2","2012-09-21 10:09:33","115-8245","755-9392"
"19-6542_2012","1","2012-09-23 23:16:00","130-3923","671-4604"
"13-9971_2012","1","2012-10-05 13:29:31","143-6341","686-408"
"44-8667_2012","1","2012-10-06 13:50:08","19-8835","425-6193"
"63-236_2012","3","2012-10-08 00:16:58","23-9793","820-8245"
"17-7321_2012","1","2012-10-10 18:02:13","153-8964","419-2591"
"92-7072_2012","2","2012-10-13 00:56:24","50-5765","436-7011"
"49-8074_2012","3","2012-10-14 08:18:11","54-9813","757-8953"
"68-2873_2012","2","2012-10-15 09:24:19","84-2526","794-2434"
"23-9613_2012","1","2012-10-16 14:35:01","160-1401","493-5045"
"70-2279_2012","3","2012-10-21 07:16:53","89-9307","243-6469"
"42-1276_2012","3","2012-10-21 20:17:04","151-2250","311-3632"
"20-5465_2012","3","2012-10-25 03:30:58","18-314","748-7941"
