"0-4357","Product Line0",""
"1-3371","Product Line1",""
"2-2498","Product Line2",""
"3-1988","Product Line3",""
"4-9302","Product Line4",""
"5-9494","Product Line5",""
"6-9755","Product Line6",""
"7-8936","Product Line7",""
"8-5417","Product Line8",""
"9-9495","Product Line9",""
"10-305","Product Line10",""
"11-5177","Product Line11",""
"12-1329","Product Line12",""
"13-1008","Product Line13",""
"14-4436","Product Line14",""
"15-5309","Product Line15",""
"16-4232","Product Line16",""
"17-2369","Product Line17",""
"18-4123","Product Line18",""
"19-7939","Product Line19",""
"20-6943","Product Line20",""
"21-4671","Product Line21",""
"22-4008","Product Line22",""
"23-2553","Product Line23",""
"24-8167","Product Line24",""
"25-6274","Product Line25",""
"26-4965","Product Line26",""
"27-6518","Product Line27",""
"28-2513","Product Line28",""
"29-2843","Product Line29",""
"30-9664","Product Line30",""
"31-8699","Product Line31",""
"32-4438","Product Line32",""
"33-7911","Product Line33",""
"34-7640","Product Line34",""
"35-9288","Product Line35",""
"36-3729","Product Line36",""
"37-7963","Product Line37",""
"38-6659","Product Line38",""
"39-6359","Product Line39",""
"40-1338","Product Line40",""
"41-2783","Product Line41",""
"42-2846","Product Line42",""
"43-3456","Product Line43",""
"44-4194","Product Line44",""
"45-5553","Product Line45",""
"46-7017","Product Line46",""
"47-3582","Product Line47",""
"48-1484","Product Line48",""
"49-3485","Product Line49",""
"50-3601","Product Line50",""
"51-6873","Product Line51",""
"52-3254","Product Line52",""
"53-593","Product Line53",""
"54-5556","Product Line54",""
"55-3885","Product Line55",""
"56-7075","Product Line56",""
"57-8152","Product Line57",""
"58-8744","Product Line58",""
"59-3566","Product Line59",""
"60-7817","Product Line60",""
"61-5441","Product Line61",""
"62-7206","Product Line62",""
"63-9536","Product Line63",""
"64-706","Product Line64",""
"65-5348","Product Line65",""
"66-4138","Product Line66",""
"67-1815","Product Line67",""
"68-5036","Product Line68",""
"69-8583","Product Line69",""
"70-5211","Product Line70",""
"71-7642","Product Line71",""
"72-3754","Product Line72",""
"73-1474","Product Line73",""
"74-3058","Product Line74",""
"75-2945","Product Line75",""
"76-1361","Product Line76",""
"77-2847","Product Line77",""
"78-3960","Product Line78",""
"79-516","Product Line79",""
"80-6374","Product Line80",""
"81-2106","Product Line81",""
"82-1016","Product Line82",""
"83-1745","Product Line83",""
"84-1004","Product Line84",""
"85-3064","Product Line85",""
"86-5994","Product Line86",""
"87-1369","Product Line87",""
"88-1635","Product Line88",""
"89-9833","Product Line89",""
"90-8431","Product Line90",""
"91-5422","Product Line91",""
"92-619","Product Line92",""
"93-1003","Product Line93",""
"94-1973","Product Line94",""
"95-6225","Product Line95",""
"96-439","Product Line96",""
"97-459","Product Line97",""
"98-2569","Product Line98",""
"99-9457","Product Line99",""
"100-2131","Product Line100",""
"101-7799","Product Line101",""
"102-2810","Product Line102",""
"103-2864","Product Line103",""
"104-2182","Product Line104",""
"105-3620","Product Line105",""
"106-2263","Product Line106",""
"107-1127","Product Line107",""
"108-9060","Product Line108",""
"109-8743","Product Line109",""
"110-3959","Product Line110",""
"111-9182","Product Line111",""
"112-5691","Product Line112",""
"113-1525","Product Line113",""
"114-5892","Product Line114",""
"115-1772","Product Line115",""
"116-9459","Product Line116",""
"117-1335","Product Line117",""
"118-9397","Product Line118",""
"119-14","Product Line119",""
"120-6944","Product Line120",""
"121-4159","Product Line121",""
"122-8235","Product Line122",""
"123-2324","Product Line123",""
"124-79","Product Line124",""
"125-1360","Product Line125",""
"126-9123","Product Line126",""
"127-7763","Product Line127",""
"128-6009","Product Line128",""
"129-5547","Product Line129",""
"130-4508","Product Line130",""
"131-6392","Product Line131",""
"132-6604","Product Line132",""
"133-4750","Product Line133",""
"134-919","Product Line134",""
"135-6421","Product Line135",""
"136-6585","Product Line136",""
"137-8761","Product Line137",""
"138-9094","Product Line138",""
"139-1860","Product Line139",""
"140-6203","Product Line140",""
"141-1338","Product Line141",""
"142-5730","Product Line142",""
"143-5670","Product Line143",""
"144-7218","Product Line144",""
"145-6695","Product Line145",""
"146-1199","Product Line146",""
"147-2540","Product Line147",""
"148-226","Product Line148",""
"149-9353","Product Line149",""
"150-2298","Product Line150",""
"151-5515","Product Line151",""
"152-132","Product Line152",""
"153-8171","Product Line153",""
"154-6462","Product Line154",""
"155-3529","Product Line155",""
"156-4073","Product Line156",""
"157-3681","Product Line157",""
"158-1428","Product Line158",""
"159-1255","Product Line159",""
"160-4017","Product Line160",""
"161-1759","Product Line161",""
"162-9376","Product Line162",""
"163-3192","Product Line163",""
"164-9818","Product Line164",""
"165-72","Product Line165",""
"166-6930","Product Line166",""
"0-6172","Product Group0","102-2810"
"1-8890","Product Group1","66-4138"
"2-5288","Product Group2","164-9818"
"3-891","Product Group3","157-3681"
"4-9533","Product Group4","111-9182"
"5-9711","Product Group5","91-5422"
"6-5914","Product Group6","39-6359"
"7-7996","Product Group7","139-1860"
"8-4517","Product Group8","43-3456"
"9-1857","Product Group9","15-5309"
"10-6015","Product Group10","104-2182"
"11-3628","Product Group11","92-619"
"12-9369","Product Group12","49-3485"
"13-8624","Product Group13","7-8936"
"14-2559","Product Group14","85-3064"
"15-6510","Product Group15","26-4965"
"16-9248","Product Group16","12-1329"
"17-1283","Product Group17","126-9123"
"18-7494","Product Group18","134-919"
"19-595","Product Group19","98-2569"
"20-6616","Product Group20","158-1428"
"21-4924","Product Group21","152-132"
