"73-1707_2014","3","2014-10-12 20:13:19","55-7359","973-2148"
"70-5630_2014","2","2014-10-15 08:07:24","37-2685","428-6656"
"81-22_2014","2","2014-10-25 09:20:27","32-6810","195-5139"
"5-6213_2014","2","2014-10-28 21:45:32","108-7466","72-2107"
"93-4814_2014","1","2014-10-30 21:16:26","160-1401","693-7684"
"52-9007_2014","2","2014-11-05 10:15:55","49-6385","844-6660"
"68-7288_2014","3","2014-11-08 11:29:00","130-3923","513-1719"
"46-6229_2014","2","2014-11-09 17:06:25","50-874","504-5763"
"99-9704_2014","2","2014-11-11 23:13:54","46-864","555-1017"
"72-2752_2014","3","2014-11-13 10:24:24","50-874","965-2085"
"49-1581_2014","3","2014-11-13 11:47:07","18-2493","770-1178"
"95-3403_2014","3","2014-11-16 17:00:12","56-3543","403-4348"
"59-7876_2014","3","2014-11-17 07:54:33","57-5415","306-8136"
"25-9260_2014","2","2014-11-23 19:03:30","126-1618","922-5450"
"41-3041_2014","1","2014-11-26 07:57:29","46-864","187-2482"
"24-2837_2014","3","2014-11-29 17:00:28","51-9935","525-7119"
"2-3094_2014","3","2014-12-01 08:34:29","101-9901","145-277"
"37-7463_2014","2","2014-12-09 15:04:15","80-7060","668-687"
"21-250_2014","1","2014-12-10 17:16:19","50-874","382-7801"
"62-3441_2014","3","2014-12-13 13:23:24","58-669","644-2999"
"10-1852_2014","1","2014-12-17 17:50:18","44-9970","932-2554"
"32-188_2014","1","2014-12-20 17:11:48","71-1099","242-4251"
"18-7271_2014","2","2014-12-22 00:43:19","47-5426","85-3764"
"54-4730_2014","3","2014-12-23 12:43:47","58-3312","106-8080"
"45-4280_2014","2","2014-12-29 18:48:58","8-8806","500-235"
"49-4601_2015","1","2015-01-10 02:11:13","18-7709","837-7226"
"54-1580_2015","2","2015-01-13 21:48:52","37-7551","777-4862"
"1-6887_2015","2","2015-01-17 19:48:24","16-3184","158-8838"
"94-5860_2015","1","2015-01-21 14:17:13","44-9453","341-7880"
"22-8937_2015","1","2015-01-22 21:58:40","172-2791","868-537"
"21-259_2015","3","2015-01-24 16:09:08","104-855","494-5104"
"81-6473_2015","2","2015-02-04 16:32:01","22-5332","906-874"
"37-4283_2015","1","2015-02-08 21:13:03","86-505","984-2145"
"32-2148_2015","2","2015-02-12 19:23:00","187-2498","886-8218"
"10-2435_2015","3","2015-02-16 23:11:30","24-4798","641-8655"
"20-7781_2015","2","2015-02-18 14:41:36","8-2639","300-8421"
"5-2609_2015","1","2015-02-22 17:11:44","23-2113","553-8890"
"65-7885_2015","2","2015-02-23 03:49:23","14-8072","628-9600"
"14-1785_2015","2","2015-02-28 17:26:03","43-2405","835-9629"
"76-4371_2015","2","2015-02-28 20:22:09","40-1104","260-1216"
"86-6716_2015","3","2015-03-01 17:38:19","38-1174","753-6622"
"33-9720_2015","1","2015-03-08 17:54:51","29-2207","343-8912"
"18-2268_2015","3","2015-03-09 09:41:05","175-2828","849-6144"
"61-8944_2015","1","2015-03-10 02:42:08","17-2547","673-3507"
"95-9912_2015","1","2015-03-17 16:21:10","175-2828","574-3963"
"4-8003_2015","3","2015-03-18 19:04:18","49-6104","846-9720"
"36-420_2015","1","2015-03-20 03:29:17","30-2956","949-319"
"34-775_2015","3","2015-03-22 16:44:00","48-4030","66-6819"
"64-9123_2015","1","2015-03-27 22:48:39","26-6772","844-6660"
"73-8541_2015","3","2015-03-28 10:44:23","43-2405","576-9489"
"85-5129_2015","1","2015-03-29 02:27:06","71-1099","609-9821"
"90-5733_2015","1","2015-03-29 19:05:04","7-324","174-4655"
"93-5526_2015","2","2015-03-31 08:58:36","16-3184","894-8887"
"52-7241_2015","2","2015-03-31 21:53:24","10-7353","126-9766"
"39-9950_2015","2","2015-04-01 06:55:49","46-864","296-8496"
"47-2967_2015","3","2015-04-02 18:09:39","80-7060","971-3264"
"38-8702_2015","1","2015-04-08 19:22:23","42-1947","19-2303"
"11-8381_2015","2","2015-04-09 01:27:32","29-2207","824-7990"
"6-6889_2015","3","2015-04-13 06:53:08","56-3258","773-6224"
"23-2372_2015","1","2015-04-15 15:08:15","1-9989","272-2108"
"74-2111_2015","3","2015-04-24 17:35:26","30-2956","724-7767"
"28-9976_2015","3","2015-05-02 04:56:49","31-8324","672-7345"
"43-6006_2015","3","2015-05-02 07:14:26","42-1947","315-2492"
"48-6242_2015","1","2015-05-02 22:57:31","8-9837","6-9881"
"8-6438_2015","1","2015-05-05 15:13:34","26-6772","898-2235"
"98-9428_2015","2","2015-05-06 06:23:35","56-4287","274-9488"
"82-1768_2015","2","2015-05-08 23:18:32","36-1076","449-4102"
"68-4339_2015","2","2015-05-12 08:01:27","130-3923","52-3338"
"16-8991_2015","3","2015-05-14 08:46:51","1-5011","445-5670"
"83-1928_2015","2","2015-05-17 11:31:01","20-8495","723-217"
"84-4751_2015","2","2015-05-22 04:29:06","113-5821","196-9509"
"9-4508_2015","1","2015-05-25 10:36:43","29-5795","40-3776"
"78-892_2015","2","2015-06-02 19:56:40","39-9392","271-1316"
"91-6629_2015","1","2015-06-05 10:17:42","53-1084","266-7293"
"56-2084_2015","1","2015-06-06 03:14:04","37-7551","877-6877"
"67-8323_2015","1","2015-06-14 17:23:04","19-9932","217-7726"
"53-4000_2015","1","2015-06-15 03:20:46","95-7538","750-2181"
"71-1969_2015","3","2015-06-15 04:17:10","56-3543","436-7011"
"50-3128_2015","2","2015-06-17 18:25:36","91-5950","723-217"
"44-3680_2015","1","2015-06-20 00:39:30","143-6341","803-7863"
